HMDVec_X,HMDVec_Y,HMDVec_Z,HMDPos_X,HMDPos_Y,HMDPos_Z,HMDRot_X,HMDRot_Y,HMDRot_Z,HMDRot_W,GazeTarget_X,GazeTarget_Y,GazeTarget_Z,EyeFrames,ViveTiming,Combine_Origin_X,Combine_Origin_Y,Combine_Origin_Z,Combine_GazeDir_X,Combine_GazeDir_Y,Combine_GazeDir_Z,Combine_Validity,Left_Origin_X,Left_Origin_Y,Left_Origin_Z,Left_GazeDir_X,Left_GazeDir_Y,Left_GazeDir_Z,Left_PupilSensor_X,Left_PupilSensor_Y,Left_Diameter,Left_Openness,Left_Validity,Right_Origin_X,Right_Origin_Y,Right_Origin_Z,Right_GazeDir_X,Right_GazeDir_Y,Right_GazeDir_Z,Right_PupilSensor_X,Right_PupilSensor_Y,Right_Diameter,Right_Openness,Right_Validity,Left_HMD2TargAng_X,Left_HMD2TargAng_Y,Left_HMD2TargAng_Z,Left_HMD2EyeAng_X,Left_HMD2EyeAng_Y,Left_HMD2EyeAng_Z,Left_GazePoint_X,Left_GazePoint_Y,Left_GazePoint_Z,Right_HMD2TargAng_X,Right_HMD2TargAng_Y,Right_HMD2TargAng_Z,Right_HMD2EyeAng_X,Right_HMD2EyeAng_Y,Right_HMD2EyeAng_Z,Right_GazePoint_X,Right_GazePoint_Y,Right_GazePoint_Z,Combine_HMD2TargAng_X,Combine_HMD2TargAng_Y,Combine_HMD2TargAng_Z,Combine_HMD2EyeAng_X,Combine_HMD2EyeAng_Y,Combine_HMD2EyeAng_Z,Combine_GazePoint_X,Combine_GazePoint_Y,Combine_GazePoint_Z,HR,GSR,fms,phys,mental,digit,Luminance,HOG_features,Spectral_Entropy,Temporal_Smoothness,Optical_Flow,Frame_Rate,Scene_Complexity,Motion_Intensity,Visual_Contrast,FOV,Reaction_Time,HRV,Fixation_Duration,Gaze_Error_Angle,Eye_Blink_Rate
0.413758217,0.461258395,-0.17045387,-1.182442613,26.24779436,0.899378813,-0.279217211,0.603436006,0.050426352,0.550485984,-0.959999979,22.70000076,-1.179999948,23371.68056,5564967234,-21.41053602,3.930892097,-39.09964201,-0.047856861,-0.020801968,0.993286557,1.0,27.21526591,5.611017227,-33.36745983,-0.144586563,-0.016480128,0.98087883,0.708078249,0.431181452,2.920603858,0.999711626,1.0,-30.89006933,3.608292686,-40.25512844,-0.029331631,-0.022096422,0.99444792,0.50746011,0.552205611,2.741034402,0.99905104,1.0,33.86510597,105.1557781,27.2385185,-0.944740329,-8.390305862,-89.92668152,0.58167178,27.98475379,0.024511841,33.44814369,106.0248954,27.74175464,-1.266750381,-1.693661946,-89.98750475,0.564651813,28.10092931,0.296369522,33.50651244,105.8975101,27.68459193,-1.192448456,-2.762851131,-89.95228068,0.576338762,28.09122062,0.267040163,107.6526575,2.110058252,1,1,2,60,65.43837072185184,49.15399709145124,0.24575631029506967,1.0850974003417075,-1.389252736589628,65.28806585860148,23.36233010234111,0.7134146850706686,0.3622402291311825,95.76081445458495,418.13836831001436,53.84509530131751,431.57665745318894,111.07190923573556,0.0006186670000000172
0.54045065,0.39104027,-0.623772903,-1.374349328,27.40781835,0.540218786,-0.250122193,0.825747394,0.125773066,0.395328556,-0.959999979,24.04328435,-1.179999948,23493.70149,5575175960,-12.32092103,3.984739161,-38.23789431,0.027923128,0.065724615,0.984543985,1.0,27.94393078,5.463546981,-33.61479301,0.004244676,0.075737113,0.984076201,0.658440654,0.425838607,3.010635148,1.0,1.0,-30.45262806,3.321683969,-40.24688106,0.03605128,0.063518239,0.984727319,0.480967852,0.549750215,2.774369425,1.0,1.0,47.41259865,85.46375081,41.87706836,4.37345093,0.248064502,-90.44741594,0.392842069,28.98796361,-1.843857813,46.89681654,86.3361017,42.60528371,3.665046064,2.103500924,-90.34009062,0.542378585,28.98791307,-1.744654802,47.06504292,86.09622671,42.40583904,3.793095863,1.631484385,-90.37796021,0.503337512,28.98365288,-1.772321017,102.9768765,2.145238455,1,1,2,60,777.4323891214957,27.696755345568178,0.541299835571369,5.718139433411548,-0.9154441859151738,106.60790623251785,91.79873488590258,0.3805141531657176,0.89967206318877,101.74730815508254,399.81044330413147,51.981833689295335,245.08358659067562,98.1207343977875,0.0
0.420056975,0.577522023,0.0049616,-1.969785478,31.09055666,0.515094678,-0.37705202,0.515577979,0.184045707,0.638926348,-0.959999979,27.70000076,-1.179999948,23616.05797,5585360430,0.279238494,2.992898692,-31.34867704,-0.077739771,-0.180982507,0.66190305,0.84057971,28.39390409,5.646821616,-38.08508433,0.064249232,-0.02387713,0.794356194,0.516526019,0.371148866,1.833786011,0.880447087,0.811594203,-30.08230613,4.451542066,-46.91526286,0.094177025,-0.019458937,0.819643546,0.393862811,0.527192174,1.789153832,0.866734582,0.84057971,33.35531854,127.4808421,44.61871659,-1.440184142,3.727061124,-73.01100358,-1.030378872,32.81781874,0.411907858,32.79805031,128.0834152,45.06136057,-1.193468953,5.486219677,-75.65892095,-1.007452381,32.93487162,0.450385338,33.28803767,127.9176703,44.9353599,-6.935920711,-16.76300083,-66.1467854,-0.87416307,32.45899706,-0.015448777,102.1996143,2.173206853,1,1,2,60,674.3319806003163,89.01344063973175,0.22352952012829785,1.362850593838103,1.7969721683334523,110.85285798328418,54.061064383502256,0.40144850221937,0.6695069314019326,93.08144893917763,329.269260626287,28.27392930382004,346.2918964602168,132.17800054055456,0.12640916550000003
0.73312093,-0.312057193,0.314444026,-1.012793078,30.52275193,1.741739204,0.156117495,0.51593232,-0.02609833,0.788257892,-0.959999979,27.70000076,-1.179999948,23733.60938,5595142506,-21.22561383,3.342798471,-39.24511957,-0.09447217,-0.196309805,0.964553595,1.0,26.81860065,5.117850542,-33.73879528,-0.131180286,-0.182894468,0.963525772,0.721076249,0.477657947,3.002825737,0.974473746,1.0,-31.3610642,2.959163666,-40.39500761,-0.08649826,-0.199805498,0.964431047,0.533713537,0.607206421,2.750294924,0.96800696,1.0,54.22300816,95.30767936,-22.54237556,-10.55347443,-7.679467283,-88.90225506,1.789902596,28.61273831,2.365234906,54.48230278,96.62296653,-21.46584773,-11.53668022,-5.063825189,-89.22164536,1.760911539,28.52343535,2.493428929,54.44122434,96.39457637,-21.65211409,-11.33235168,-5.531138434,-89.15790796,1.768338248,28.54169688,2.469641909,104.0751122,2.189845228,1,1,2,60,209.2543330087071,85.52474717492906,0.24385724241874818,4.8420106555414915,-4.4331956783416455,70.90905917024033,16.196368409090674,0.5268435468428636,0.5364215887381947,98.90103732627314,523.2700015456696,55.47457434503685,174.00977092978098,110.70574177155387,0.028759647
-0.051638603,-0.161609493,-0.960858426,0.807335062,30.57482756,0.72334753,0.043629869,0.988603221,-0.080328546,-0.020842624,-0.959999979,27.70000076,-1.179999948,23848.32836,5604735022,-26.2964867,3.49988795,-39.96961132,-0.095925858,-0.161497429,0.979780738,1.0,27.09535923,5.285110929,-33.46949267,-0.129213248,-0.13628285,0.979085666,0.709168173,0.462326423,3.152912652,0.995924007,1.0,-31.30569868,3.333939965,-40.56661441,-0.09342706,-0.162967511,0.979681442,0.532964413,0.588445097,2.892927938,0.989391622,1.0,42.754792,30.69278065,20.92251074,-7.851877696,-7.50607983,-89.05093156,0.07842235,29.47551884,-2.831707848,42.4407011,31.55108193,21.46300575,-9.396379613,-5.43753735,-89.16809765,0.255321395,29.35361324,-2.843330928,42.47722296,31.48488492,21.419771,-9.31006907,-5.583421849,-89.14419328,0.241662491,29.36054603,-2.841010339,108.0835797,2.201148249,1,1,2,60,186.36872540532548,13.154144909480472,0.8345062173410875,3.0134291033057474,-4.653272957739336,85.82079194233202,63.280796875280714,0.10019280374810764,0.7917500792719492,90.21727812263356,464.48087222888296,38.88713742301748,222.69894343612168,52.873551505636485,0.007342185499999987
-0.755573834,-0.093415557,-0.322832895,0.731664774,30.53768369,-0.809965142,0.000490169,0.793128865,-0.054054545,-0.52804557,-0.959999979,27.70000076,-1.179999948,23970.27273,5614904040,-19.03518168,3.776831193,-39.19266163,-0.141733805,-0.188981952,0.963955966,1.0,26.86576566,5.409511913,-33.96858701,-0.173470006,-0.178162777,0.961985501,0.72598922,0.468496781,3.201670329,0.994723432,1.0,-31.51051747,3.34000836,-40.61651773,-0.133277893,-0.19265146,0.964573484,0.547039633,0.594179997,2.94343775,0.986766619,1.0,54.11978167,8.039823781,71.52212224,-10.26710418,-10.2167941,-88.2226003,-1.859595756,29.64916859,-1.482724083,53.33851953,8.113988363,71.48473219,-11.11126755,-7.875913745,-88.45956051,-1.78100131,29.58381361,-1.577398947,53.52632465,8.143631198,71.5272263,-10.8967951,-8.369934537,-88.40377438,-1.788780404,29.5988647,-1.557186572,113.63451,2.207397812,1,1,2,60,187.55338239007537,66.44601380125508,0.2974717597823166,3.147436196654988,-1.0808943705609098,69.92998647981933,31.52190709608887,0.29299546883042227,0.4672875479610621,89.03477059356337,639.5654465458017,23.140926008576145,382.10380394377523,54.14227700814066,0.009254974500000013
-0.880471008,-0.028584817,0.245818669,0.33133505,30.5084413,-1.551923797,0.005065265,0.592683123,-0.033617113,-0.777491343,-0.959999979,27.70000076,-1.179999948,24090.17241,5624911989,4.335393445,4.663782054,-36.66603825,0.105017037,-0.189028773,0.973025355,1.0,28.41244165,5.5315265,-34.0255419,0.089272861,-0.191977928,0.973497588,0.628941226,0.468936925,2.995340282,0.999088979,1.0,-30.11091798,3.349587539,-40.34827055,0.125612193,-0.184102815,0.970874129,0.454058783,0.587521202,2.791406566,0.999064472,1.0,62.95792224,-5.17864435,100.8428631,-11.09041148,5.223041218,-90.91673331,-2.37777087,29.82781101,-1.155527413,62.02233268,-5.864151625,100.1791974,-10.63261887,7.358895664,-91.27865022,-2.357980615,29.84088105,-1.246567205,62.55252522,-5.534487009,100.5023456,-10.91753414,6.149833531,-91.10642427,-2.378014065,29.83082087,-1.188433088,116.078883,2.204789765,1,1,2,60,278.1816822196533,84.01986539325327,0.5726944775926519,3.4707095241664963,1.9716369213798046,102.39624773965306,78.31394340957071,0.2665854468865716,0.7507813940801082,97.34689358508541,264.4493112169262,76.91936946239389,308.60575610364594,62.79688652991903,0.0009232744999999598
-0.762187965,-0.018031027,-0.014616129,0.191167555,30.70696788,-1.595998609,0.007313921,0.650957964,-0.015508895,-0.671860547,-0.959999979,27.70000076,-1.179999948,24208.03175,5634724730,-4.136543395,4.506318834,-37.51280091,-0.099572076,-0.135576763,0.976222205,1.0,27.06621467,5.547037276,-33.65285044,-0.123092651,-0.124758524,0.975125267,0.710583204,0.45270807,2.994995117,0.999599578,1.0,-31.3290788,3.518933735,-40.79280575,-0.076523554,-0.140891666,0.976748996,0.531625347,0.580323503,2.720614721,0.999638394,1.0,68.3058112,32.84059546,86.29303003,-7.175686306,-7.209779096,-89.08589148,-2.23830086,30.24589481,-1.483031216,67.75314761,30.25806871,89.4489074,-8.108933222,-4.515449689,-89.24836029,-2.174183838,30.18716582,-1.605363309,68.11571805,30.63717802,89.82284122,-7.803187295,-5.850150662,-89.16104174,-2.221099374,30.20933227,-1.533998705,113.194985,2.193534944,1,1,2,60,443.5673237241784,24.446027610186682,0.4877669218204946,5.349047143347271,-3.0656465704351743,92.12086608369941,79.5148762531262,0.3003863573998108,0.3258122849219607,94.94389022551941,539.7405673998069,58.48942214385727,428.3907185361134,74.68860503782533,0.00038101400000001284
0.177078496,-0.021325361,0.976340448,-1.073381893,30.74750377,-0.946606451,0.011264096,0.093406034,-0.003155734,0.752796196,-0.959999979,27.70000076,-1.179999948,24330.81034,5644963381,-14.44413626,4.145011376,-38.65327927,0.017937233,-0.12721726,0.985523355,1.0,27.82160187,5.734181897,-34.19951761,-0.016364525,-0.127023894,0.986897962,0.666079312,0.452211792,3.082818919,0.998967437,1.0,-30.60238832,3.547144133,-40.44466847,0.029269251,-0.127404049,0.985152146,0.487659851,0.572546259,2.831993892,0.999019213,1.0,83.95133209,123.1529826,-46.53712753,-7.314588349,-0.975479685,-89.68620458,-0.542615118,30.29540897,2.025616934,84.54915093,62.36305631,-39.08459098,-7.340016416,1.666010439,-89.93142384,-0.624201466,30.29783561,2.044945439,84.36590602,84.66973153,-41.59852002,-7.32842593,1.010185922,-89.86922797,-0.605965565,30.29775669,2.038308495,108.5369537,2.179060712,1,1,2,60,373.9587639815868,55.435618444210355,0.4431403283811899,3.3383497596813845,1.4150448125625168,98.11940080249926,93.21052524764626,0.7447246740267531,0.8456152244460267,97.38609107449943,593.3269953302025,72.61513591225082,278.6254225024063,119.52643864826622,0.001006674999999957
0.158714126,0.00596197,0.94834421,-0.906130398,30.8850233,-0.486245435,-0.003570923,0.127650138,0.022082592,0.201343975,-0.959999979,27.70000076,-1.179999948,24452.62295,5655073109,-18.8994706,3.421681388,-36.73927132,0.019006698,-0.077494887,0.863542901,0.93442623,27.71795079,5.354068193,-33.71557667,0.014001315,-0.013675127,0.933082706,0.665765801,0.44485286,2.634590024,0.971745972,0.93442623,-30.76253522,3.392637909,-40.5227411,0.100706257,-0.011566913,0.927718616,0.482912732,0.560747051,2.441434766,0.967297315,0.93442623,77.35049964,168.9423133,4.682455719,-0.783976474,0.802388605,-84.07854424,-0.585095361,30.84100517,2.496398943,77.11608549,-43.92038439,10.07080116,-0.663071002,5.788309183,-84.12723579,-0.803101988,30.8434643,2.52794387,77.2143711,-27.16535725,9.143180097,-2.995798697,-3.992793857,-80.18599788,-0.723844774,30.72837223,2.346507788,101.5315985,2.165794356,1,1,2,60,268.42185514853145,83.23906380704335,0.8298833419810907,6.128893354131963,-2.4017186205970056,71.78921801737266,52.65891013708281,0.32373908523715456,0.591311050563857,88.59981743861069,591.7689561347381,60.56336030079519,410.94370974417694,81.85362385923204,0.03047835649999997
